系列,球列數,dr,公差,D,公差,L,公差,B,公差,D1,W,h,度數,逕向跳動, C(kgf), Co(kgf)
LM10OP,3,10,0~-0.009,19,0~-0.013,29,0~-0.20,22,0~-0.20,18,1.3,6.8,80o,0.012,38,56
LM12OP,3,12,0~-0.009,21,0~-0.013,30,0~-0.20,23,0~-0.20,20,1.3,8,80o,0.012,42,61
LM13OP,3,13,0~-0.009,23,0~-0.013,32,0~-0.20,23,0~-0.20,22,1.3,9,80o,0.012,52,79
LM16OP,4,16,0~-0.009,28,0~-0.013,37,0~-0.20,26.5,0~-0.20,27,1.6,11,80o,0.012,79,120
LM20OP,4,20,0~-0.010,32,0~-0.016,42,0~-0.20,30.5,0~-0.20,30.5,1.6,11,60o,0.015,88,140
LM25OP,5,25,0~-0.010,40,0~-0.016,59,0~-0.30,41,0~-0.30,38,1.85,12.5,60o,0.015,100,160
LM30OP,5,30,0~-0.010,45,0~-0.016,64,0~-0.30,44.5,0~-0.30,43,1.85,15,60o,0.015,160,220
LM35OP,5,35,0~-0.012,52, 0~-0.019,70,0~-0.30,49.5,0~-0.30,49,2.1,17.5,60o,0.020,170,320
LM40OP,5,40,0~-0.012,60, 0~-0.019,80,0~-0.30,60.5,0~-0.30,57,2.1,20,60o,0.020,220,410
LM50OP,5,50,0~-0.012,80, 0~-0.019,100,0~-0.30,74,0~-0.30,76.5,2.6,25,60o,0.020,390,810
LM60OP,5,60,0~-0.015,90, 0~-0.022,110,0~-0.30,85,0~-0.30,86.5,3.15,30,60o,0.025,480,1020
