參數,d,D,B
0,0,0,0
1,12,28,7
2,15,32,8
3,17,35,8
4,20,42,8
5,25,47,8
6,30,55,9
7,35,62,9
8,40,68,9
9,45,75,10
10,50,80,10
11,55,90,11
12,60,95,11
13,65,100,11
14,70,110,13
15,75,115,13
16,60,125,14
17,85,130,14
18,90,140,16
19,95,145,16
20,100,150,16
21,105,160,18
22,110,170,19
24,120,180,19
26,130,200,22
28,140,210,22
30,150,225,24
32,160,240,25
34,170,260,28
36,180,280,31
38,190,290,31
40,200,310,34
44,220,340,37
48,240,360,37
52,260,400,44
56,280,420,44
60,300,460,50
64,320,480,74
68,340,520,57
