參數
,d,D,B
0,10,22,6
1,12,24,6
2,15,26,7
3,17,30,7
4,20,37,9
5,25,42,9
6,30,47,9
7,35,55,10
8,40,62,12
9,45,68,12
10,50,72,12
11,55,80,13
12,60,86,13
13,65,90,13
14,70,100,16
15,75,105,16
16,80,110,16
17,85,120,18
18,90,125,18
19,95,130,18
20,100,140,20
21,105,145,20
22,110,150,20
24,120,165,22
26,130,180,24
28,140,190,24
30,150,210,28
32,160,220,28
34,170,230,28
36,180,250,33
38,190,260,33
40,200,280,38
44,220,300,38
48,240,320,38
52,260,360,46
56,280,380,46
60,300,380,38
64,320,400,38
68,340,420,38
