編號,d,D,B
0,10,35,10
1,12,37,12
2,15,42,13
3,17,47,14
4,20,52,15
5,25,62,17
6,30,72,19
7,35,80,21
8,40,90,23
9,45,100,25
10,50,110,27
11,55,120,29
12,60,130,31
13,65,140,33
14,70,150,35
15,75,160,37
16,60,170,39
17,85,180,41
18,90,190,43
19,95,200,45
20,100,215,47
21,105,225,49
22,110,240,50
24,120,250,55
26,130,280,58
28,140,300,62
30,150,320,65
32,160,340,68
34,170,360,72
36,180,380,75
38,190,400,78
40,200,420,80
44,220,460,88
48,240,500,95
52,260,540,102
56,280,580,108
