編號,d,D,B
0,10,26,8
1,12,28,8
2,15,32,9
3,17,35,10
4,20,42,12
5,25,47,12
6,30,55,13
7,35,62,14
8,40,68,15
9,45,75,15
10,50,80,16
11,55,90,18
12,60,95,18
13,65,100,18
14,70,110,20
15,75,115,20
16,80,125,22
17,85,130,22
18,90,140,24
19,95,145,24
20,100,150,24
21,105,160,26
22,110,170,28
24,120,180,28
26,130,200,33
28,140,210,33
30,160,225,35
32,160,240,38
34,170,260,42
36,180,280,46
38,190,290,46
40,200,310,51
44,220,340,56
48,240,360,56
52,260,420,65
56,280,440,65
60,300,460,74
64,320,480,74
68,340,520,82
