參數,b1•b2基準尺寸,(滑動型)b1_容許公差(H9),(滑動型)b2_容許公差(D10),(精密級)b1及b2_容許公差(P9),r1及r2,t1基準尺寸,t2基準尺寸,t1*t2容許公差,適用軸徑(d)
2X2,2,+0.025~0,0.06~+.02,-0.006~-0.031,0.08~0.16,1.2,1.0,+0.10,6~8
3X3,3,+0.025~0,0.06~+.02,-0.006~-0.031,0.08~0.16,1.8,1.4,+0.10,8~10
4X4,4,+0.030~0,0.078~0.03,-0.012~-0.042,0.08~0.16,2.5,1.8,+0.10,10~12
5X5,5,+0.025~0,0.078~0.03,-0.012~-0.042,0.16~0.25,3.0,2.3,+0.10,12~17
6X6,6,+0.025~0,0.078~0.03,-0.012~-0.042,0.16~0.25,3.5,2.8,+0.10,17~22
7X7,7,+0.036~0,0.098~+0.04,-0.015~-0.051,0.16~0.25,4.0,3.0,+0.20,20~25
8X7,8,+0.036~0,0.098~+0.04,-0.015~-0.051,0.16~0.25,4.0,3.3,+0.20,22~30
10X8,10,+0.036~0,0.098~+0.04,-0.015~-0.051,0.25~0.40,5.0,3.3,+0.20,30~38
12X8,12,+0.043~0,0.12~0.05,-0.018~-0.061,0.25~0.40,5.0,3.3,+0.20,38~44
14X9,14,+0.043~0,0.12~0.05,-0.018~-0.061,0.25~0.40,5.5,3.8,+0.20,44~50
15X10,15,+0.043~0,0.12~0.05,-0.018~-0.061,0.25~0.40,5.0,5.0,+0.20,50~55
16X10,16,+0.043~0,0.12~0.05,-0.018~-0.061,0.25~0.40,6.0,4.3,+0.20,50~58
18X11,18,+0.043~0,0.12~0.05,-0.018~-0.061,0.25~0.40,7.0,4.4,+0.20,58~65
20X12,20,+0.052~0,0.149~0.065,-0.022~-0.074,0.40~0.60,7.5,4.9,+0.20,65~75
22X14,22,+0.052~0,0.149~0.065,-0.022~-0.074,0.40~0.60,9.0,5.4,+0.20,75~85
24X16,24,+0.052~0,0.149~0.065,-0.022~-0.074,0.40~0.60,8.0,8.0,+0.20,80~90
25X14,25,+0.052~0,0.149~0.065,-0.022~-0.074,0.40~0.60,9.0,5.4,+0.20,85~95
28X16,28,+0.052~0,0.149~0.065,-0.022~-0.074,0.40~0.60,10.0,6.4,+0.20,95~110
32X18,32,+0.062~0,0.18~0.08,-0.026~-0.088,0.40~0.60,11.0,7.4,+0.20,110~130
35X22,35,+0.062~0,0.18~0.08,-0.026~-0.088,0.70~1.00,11.0,11.0,0.30,125~140
36X20,36,+0.062~0,0.18~0.08,-0.026~-0.088,0.70~1.00,12.0,8.4,0.30,130~150
38X24,38,+0.062~0,0.18~0.08,-0.026~-0.088,0.70~1.00,12.0,12.0,0.30,140~160
40X22,40,+0.062~0,0.18~0.08,-0.026~-0.088,0.70~1.00,13.0,9.4,0.30,150~170
42X26,42,+0.062~0,0.18~0.08,-0.026~-0.088,0.70~1.00,13.0,13.0,0.30,160~180
45X25,45,+0.062~0,0.18~0.08,-0.026~-0.088,0.70~1.00,15.0,10.4,0.30,170~200
50X28,50,+0.062~0,0.18~0.08,-0.026~-0.088,0.70~1.00,17.0,11.4,0.30,200~230
56X32,56,+0.074~0,0.22~0.1,-0.032~-0.106,1.20~1.60,20.0,12.4,0.30,230~260
63X32,63,+0.074~0,0.22~0.1,-0.032~-0.106,1.20~1.60,20.0,12.4,0.30,260~290
70X36,70,+0.074~0,0.22~0.1,-0.032~-0.106,1.20~1.60,22.0,14.4,0.30,290~330
80X40,80,+0.074~0,0.22~0.1,-0.032~-0.106,2.00~2.50,25.0,15.4,0.30,330~380
90X45,90,+0.087~0,0.26~+0.12,-0.037~-0.124,2.00~2.50,28.0,17.4,0.30,380~440
100X50,100,+0.087~0,0.26~+0.12,-0.037~-0.124,2.00~2.50,31.0,19.5,0.30,440~500
